experiment_id,model,seed,config_hash,train_f1_val,test_entity_f1,test_per_f1,test_loc_f1,test_org_f1,params,train_time_min,notes
smoke_test_seed88,distilbert-base-cased,88,0af6d2c500e6,0.4059479553903346,0.41780272654370487,0.23595505617977527,0.4569420035149385,0.4716031631919483,65196295,0.39422345129999786,smoke_test | tags=smoke-test
phase_b_teacher_seed88,roberta-large,88,c60c78c40868,0.9147540983606557,0.8468317247167436,0.9430604982206405,0.862681744749596,0.7936772046589018,354317319,40.88926113915,"phase_b_teacher | tags=teacher,phase-b,roberta-large,vanilla"
phase_b_teacher_seed5768,roberta-large,5768,bec1cf2ead9f,0.9178423236514522,0.8509905254091301,0.9562171628721542,0.8443708609271523,0.8020924149956408,354317319,47.71548305541668,"phase_b_teacher | tags=teacher,phase-b,roberta-large,vanilla"
phase_b_teacher_seed78516,roberta-large,78516,65d45c73da0b,0.9128630705394191,0.8475298126064736,0.9560632688927944,0.8543999999999999,0.7902946273830155,354317319,33.872921965516674,"phase_b_teacher | tags=teacher,phase-b,roberta-large,vanilla"
teacher_crf_seed88,roberta-large,88,00ebe17c5be4,0.9219391947411667,0.8540268456375839,0.9616724738675957,0.8530805687203792,0.8020390824129142,355366982,24.390562066183335,"teacher_crf | crf | tags=teacher,phase-b,roberta-large,crf"
teacher_crf_seed5768,roberta-large,5768,56d887e21466,0.9203980099502488,0.8504870817450233,0.9480968858131489,0.8543999999999999,0.7996545768566494,355366982,20.16357187665,"teacher_crf | crf | tags=teacher,phase-b,roberta-large,crf"
teacher_crf_seed78516,roberta-large,78516,f24af263868c,0.9167353668590271,0.8518828451882845,0.9495652173913044,0.8454258675078864,0.8077900084674005,355366982,22.90075472036667,"teacher_crf | crf | tags=teacher,phase-b,roberta-large,crf"
efficient_training_seed88,roberta-large,88,e641104c8e43,0.9256198347107438,0.8466722830665544,0.9458987783595114,0.8484848484848486,0.797274275979557,355366982,7.3151612297,"efficient_training | crf | tags=phase-d,ablation,efficient-training,5-epoch,crf"
efficient_training_seed5768,roberta-large,5768,668d59433261,0.9197684036393714,0.8424140821458509,0.9352014010507881,0.8399366085578447,0.7989864864864865,355366982,7.308268447233335,"efficient_training | crf | tags=phase-d,ablation,efficient-training,5-epoch,crf"
efficient_training_seed78516,roberta-large,78516,86141761dc58,0.9164598842018197,0.8553353015605231,0.9565217391304348,0.8462757527733756,0.8103004291845494,355366982,7.306039997966665,"efficient_training | crf | tags=phase-d,ablation,efficient-training,5-epoch,crf"
deberta_efficient_seed88_seed88,microsoft/deberta-v3-large,88,a8f3a84956b2,0.9140049140049141,0.8359966358284272,0.9387040280210158,0.8412698412698413,0.7833474936278675,434019335,8.209121597700001,"deberta_efficient_seed88 | tags=phase-d,ablation,efficient-training,5-epoch,deberta-v3-large"
deberta_efficient_seed5768_seed5768,microsoft/deberta-v3-large,5768,5c028dd06606,0.9173553719008264,0.8394129979035639,0.9403508771929825,0.8399366085578447,0.7905405405405406,434019335,8.169543660266664,"deberta_efficient_seed5768 | tags=phase-d,ablation,efficient-training,5-epoch,deberta-v3-large"
deberta_efficient_seed78516_seed78516,microsoft/deberta-v3-large,78516,028b5cfdc0d6,0.908036454018227,0.8368554522400677,0.9389179755671901,0.8309178743961353,0.7901023890784984,434019335,8.188014922783328,"deberta_efficient_seed78516 | tags=phase-d,ablation,efficient-training,5-epoch,deberta-v3-large"
